Area Code,Area Name,Sex,Cases,Population,Rate,Lower CL,Upper CL
E10000013,Gloucestershire,Females,706,"324,498",201.7,186.9,217.4
E10000027,Somerset,Females,296,"287,669",97.6,86.3,109.8
E92000001,England,Persons,"138,905","56,286,961",254.3,253.0,255.7
E12000001,North East,Persons,"9,257","2,669,941",351.3,344.1,358.6
E12000002,North West,Persons,"22,847","7,341,196",321.7,317.5,325.9
E12000003,Yorkshire and The Humber,Persons,"12,640","5,502,967",238.2,234.0,242.4
E12000004,East Midlands,Persons,"7,917","4,835,928",166.6,163.0,170.3
E12000005,West Midlands,Persons,"15,268","5,934,037",266.5,262.3,270.8
E12000006,East of England,Persons,"12,561","6,236,072",199.9,196.4,203.5
E12000007,London,Persons,"26,021","8,961,989",365.9,361.3,370.6
E12000008,South East,Persons,"19,598","9,180,135",213.5,210.5,216.5
E12000009,South West,Persons,"7,155","5,624,696",121.1,118.3,124.0
E06000001,Hartlepool,Persons,245,"93,663",265.7,233.2,301.5
E06000002,Middlesbrough,Persons,629,"140,980",499.6,460.8,540.8
E06000003,Redcar and Cleveland,Persons,376,"137,150",269.9,243.0,299.0
E06000004,Stockton-on-Tees,Persons,466,"197,348",246.3,224.3,269.9
E06000005,Darlington,Persons,340,"106,803",315.9,283.0,351.6
E06000047,County Durham,Persons,"1,769","530,094",335.6,320.0,351.8
E06000057,Northumberland,Persons,897,"322,434",266.4,248.9,284.8
E08000021,Newcastle upon Tyne,Persons,"1,011","302,820",384.1,360.1,409.3
E08000022,North Tyneside,Persons,537,"207,913",259.0,237.5,282.0
E08000023,South Tyneside,Persons,681,"150,976",446.6,413.4,481.8
E08000024,Sunderland,Persons,"1,332","277,705",492.5,466.0,520.1
E08000037,Gateshead,Persons,974,"202,055",475.2,445.7,506.2
E06000006,Halton,Persons,351,"129,410",292.5,262.3,325.1
E06000007,Warrington,Persons,688,"210,014",337.8,312.9,364.2
E06000008,Blackburn with Darwen,Persons,372,"149,696",296.5,266.4,328.9
E06000009,Blackpool,Persons,522,"139,446",374.5,342.8,408.4
E06000049,Cheshire East,Persons,"1,050","384,152",252.3,237.0,268.3
E06000050,Cheshire West and Chester,Persons,942,"343,071",262.7,246.1,280.1
E08000001,Bolton,Persons,913,"287,550",354.6,331.9,378.6
E08000002,Bury,Persons,651,"190,990",359.8,332.6,388.6
E08000003,Manchester,Persons,"1,361","552,858",368.4,347.4,390.1
E08000004,Oldham,Persons,960,"237,110",461.5,432.6,491.9
E08000005,Rochdale,Persons,674,"222,412",339.7,314.4,366.5
E08000006,Salford,Persons,877,"258,834",405.7,378.7,434.1
E08000007,Stockport,Persons,978,"293,423",324.5,304.4,345.6
E08000008,Tameside,Persons,558,"226,493",268.8,246.7,292.3
E08000009,Trafford,Persons,696,"237,354",302.2,280.1,325.7
E08000010,Wigan,Persons,"1,031","328,662",332.9,312.6,354.0
E08000011,Knowsley,Persons,627,"150,862",444.2,409.7,480.8
E08000012,Liverpool,Persons,"1,515","498,042",348.7,330.9,367.2
E08000013,St. Helens,Persons,708,"180,585",396.7,367.8,427.4
E08000014,Sefton,Persons,873,"276,410",297.0,277.2,317.8
E08000015,Wirral,Persons,"1,144","324,011",347.9,327.9,368.9
E10000006,Cumbria,Persons,"2,117","500,012",401.1,383.8,419.0
E10000017,Lancashire,Persons,"3,239","1,219,799",266.0,256.8,275.3
E06000010,"Kingston upon Hull, City of",Persons,615,"259,778",271.4,249.9,294.3
E06000011,East Riding of Yorkshire,Persons,765,"341,173",207.0,192.2,222.7
E06000012,North East Lincolnshire,Persons,145,"159,563",89.7,75.6,105.7
E06000013,North Lincolnshire,Persons,447,"172,292",259.4,235.8,284.8
E06000014,York,Persons,420,"210,618",206.9,187.4,227.9
E08000016,Barnsley,Persons,794,"246,866",329.8,307.2,353.7
E08000017,Doncaster,Persons,622,"311,890",204.7,188.9,221.5
E08000018,Rotherham,Persons,831,"265,411",319.9,298.4,342.5
E08000019,Sheffield,Persons,"2,416","584,853",451.3,433.1,469.9
E08000032,Bradford,Persons,"1,128","539,776",246.9,232.6,261.9
E08000033,Calderdale,Persons,278,"211,455",135.9,120.3,152.9
E08000034,Kirklees,Persons,666,"439,787",163.2,151.0,176.1
E08000035,Leeds,Persons,"1,662","793,139",240.3,228.7,252.3
E08000036,Wakefield,Persons,647,"348,312",192.3,177.7,207.8
E10000023,North Yorkshire,Persons,"1,204","618,054",178.0,167.8,188.6
E06000015,Derby,Persons,540,"257,302",233.6,214.2,254.3
E06000016,Leicester,Persons,780,"354,224",285.8,265.4,307.2
E06000017,Rutland,Persons,28,"39,927",61.2,40.3,88.9
E06000018,Nottingham,Persons,573,"332,900",251.0,230.4,272.9
E10000007,Derbyshire,Persons,"1,501","802,694",176.8,167.9,186.0
E10000018,Leicestershire,Persons,"1,080","706,155",150.0,141.2,159.3
E10000019,Lincolnshire,Persons,996,"761,224",125.9,118.1,134.1
E10000021,Northamptonshire,Persons,"1,180","753,278",167.9,158.4,177.8
E10000024,Nottinghamshire,Persons,"1,239","828,224",144.7,136.7,153.0
E06000019,"Herefordshire, County of",Persons,408,"192,801",194.4,175.6,214.7
E06000020,Telford and Wrekin,Persons,322,"179,854",198.9,177.6,222.2
E06000021,Stoke-on-Trent,Persons,639,"256,375",277.0,255.7,299.5
E06000051,Shropshire,Persons,660,"323,136",184.9,170.8,199.8
E08000025,Birmingham,Persons,"3,192","1,141,816",351.7,339.3,364.3
E08000026,Coventry,Persons,768,"371,521",258.9,240.5,278.3
E08000027,Dudley,Persons,883,"321,596",272.2,254.4,290.9
E08000028,Sandwell,Persons,"1,125","328,450",396.3,373.3,420.4
E08000029,Solihull,Persons,636,"216,374",271.8,250.9,294.0
E08000030,Walsall,Persons,"1,068","285,478",400.1,376.3,425.0
E08000031,Wolverhampton,Persons,948,"263,357",389.9,365.3,415.6
E10000028,Staffordshire,Persons,"2,001","879,560",216.6,207.2,226.4
E10000031,Warwickshire,Persons,"1,333","577,933",220.8,209.0,233.0
E10000034,Worcestershire,Persons,"1,285","595,786",200.7,189.8,212.1
